"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"145","V9314702744","8/21/2022 12:00:00 AM","240894","143101","تم ملو حبر + صيانة دورية","احمد رضا","",""
"148","S7224600404","8/21/2022 12:00:00 AM","147604","25325","تم ملو حبر اسود + مسح مرايات","احمد رضا","",""
"150","M6594000547","8/21/2022 12:00:00 AM","545424","","تم استبدال مجموعة الدوبلكس","شعبان","",""
"151","J8353902350","8/21/2022 12:00:00 AM","457159","","تم تغير اكس مغناتك","شعبان","",""
"152","L3684302515","8/2/2022 12:00:00 AM","431525","117536","تسليم الالة","شعبان","تم تبديل شاسية الالة",""
"153","L3684302515","8/3/2022 12:00:00 AM","431548","117538","تم تعريف الالة","طارق","",""
"154","L3684302515","8/21/2022 12:00:00 AM","431832","117602","محتاج بامب اسود + مجموعةسحب الدرج 3","شعبان","",""
"155","X106P701704","8/11/2022 12:00:00 AM","1989","13877","تسليم الالة","","",""
"157","L3664700269","8/21/2022 12:00:00 AM","574525","93247","حشر بسبب حساس مجموعة الخروج","شعبان","",""
"168","S9258900485","8/22/2022 12:00:00 AM","128424","","صيانة دورية","احمد رضا","",""
"169","W512J401016","8/20/2022 12:00:00 AM","978136","569814","صوت فى السخان","اسامة","",""
"170","V7913100397","8/20/2022 12:00:00 AM","940137","","نقط فى الصورة","اسامة","مطلوب درام",""
"173","L3684302515","8/22/2022 12:00:00 AM","431882","117602","استبدال بامب اسود+استبدال مجموعة السحب+ووجد ماتور مجموعة السحب محلول من مكانة","شعبان","",""
"174","V7913100397","8/22/2022 12:00:00 AM","941335","","نقط فى الصورة","شعبان","مطلوب درام",""
"175","W512J401016","8/22/2022 12:00:00 AM","978174","569854","صوت فى السخان بسبب شيت الفيلم","شعبان","",""
"178","V2409487026","8/20/2022 12:00:00 AM","221079","112061","كود400","شعبان","",""
"179","W524J400418","8/20/2022 12:00:00 AM","611137","","ملو نص حبر","شعبان","",""
"184","VFS8401660 ش","8/22/2022 12:00:00 AM","273612","89284","تركيب مجموعة دوبلكس","شعبان","",""
"185","W915P407081","8/13/2022 12:00:00 AM","152171","","صيانة دورية","اسامة","",""
"186","W913P705901","8/13/2022 12:00:00 AM","91069","","ديفولبر+درام","اسامة","",""
"187","E333M921515","8/9/2022 12:00:00 AM","23457","","عمل قفلة على حساسات الدرج الاول والتانى لعدم توافر الحساسات","اسامة","",""
"188","E333MA21153","8/9/2022 12:00:00 AM","8057","","تركيب تروس راجع+درام+شفرة درام","اسامة","",""
"189","W524J500209","8/2/2022 12:00:00 AM","601844","","تركيب مجموعة دوبلكس فاتورة","اسامة","",""
"190","S7224100343","8/8/2022 12:00:00 AM","122368","103119","حشر فى الدرج تم اصلاحة","اسامة","",""
"191","V9304801899","8/10/2022 12:00:00 AM","239780","114563","صيانة دورية","اسامة","200 قسط صيانة",""
"192","S7234200670ش","8/10/2022 12:00:00 AM","193102","52302","صيانة دورية+ 200 قسط صيانة + 500 قسط برنتر","اسامة","",""
"193","M5593600168","8/10/2022 12:00:00 AM","651160","","صيانة دورية","اسامة","",""
